utterance_id	transcript	asr_transcript
BU01a-VNT12-stir	AH S T ER IH NG	AH S T ER M IH NG
BU01a-VNT13-pinch	P IH N CH IH NG	P IH N CH IH NG
BU01a-VNT14-crawl	K R AA L IH NG	K R AA L IH NG
BU01a-VNT15-deliver	AH D AH L IH V ER IH NG	AH D AH L IH V ER IH NG
BU01a-VNT16-pour	AH P AO R IH NG	AH P AO R IH NG
BU01a-VNT17-howl	<sil> HH AW L IH NG	HH AW L IH NG
BU01a-VNT18-throw	AH D R AH D R AA P IH NG AH AO R P L EY IH NG W IH DH AH B AA L D R AA P S N OW HH IY HH IY HH IY HH IY W AA N HH IY D AH Z HH IY HH IY P L EY P L EY IH NG P L EY IH NG W IH DH DH AH B AA L	AH D ER AH D R AA IH AH AO R P L EY W IH DH AH B AA L D R AA P S N OW HH IY HH IY HH IY HH IY W AA HH IY D AH Z HH IY Z HH P L EY IH P L EY IH NG P L EY IH NG DH AH DH AH B AA L
BU01a-VNT19-bite	B AY DX IH NG DH AH K AE T	B AY DX IH NG DH AH K AE T
BU01a-VNT20-shove	AH P UH SH IH NG P UH SH IH NG	AH M P UH SH IH NG P UH SH IH NG
BU01a-VNT21-tickle	AH AH T IH K AH L IH NG	AH AH T IH K AH L IH NG
BU01a-VNT22-shave	SH IY R IH NG AH M S EY V SH EY V IH NG SH EY V IH NG	SH IY R AH M SH EY V SH IY V IH NG SH EY V IH NG
scale31a-BNT01-house	AH R UW M	M IH NG
scale31a-BNT03-toothbrush	AH R UW M	AH N UW
scale31a-BNT05-bench	DH AE T S AH R UW M	T S AH W UW M
scale31a-BNT07-canoe	AH R UW M	AH W UW M
scale31a-BNT15-palette	T EY B AH L	T EY B AH L
scale31a-VNT01-cut	HH IY T AA K S T UW <sil> P AW D ER S K IH N P AW ER DH AE T IH Z S HH IY IH Z <sil> HH IY Z HH IY IH Z HH IY Z K AO T AY M IY N	Y AE T S AA K S T UW P AW D AO R S AH M DH AE T W IH DH EH N Z S HH IY IH Z HH IY Z K UH P IY AH S HH IY Z K AA D AY M IY N
scale31a-VNT02-bark	HH IY IH Z G R AW L IH NG HH IY IH Z	HH IY AH Z G R AW L IH NG HH IY IH Z
scale31a-VNT03-put	HH IY Z P UH T IH T D AW N	HH IY Z P UH DX IH T D AW N
scale31a-VNT04-send	HH IY Z G AH N AH T EH L HH ER AE N D G IH V HH ER AH AH HH IY Z G OW IH NG T UW P UH T AH G ER L IH N AH IH N AH T AA IH N HH IH Z TH IH NG HH ER S AH P UH T S ER HH IY D AH Z AH N T Z W AA N B AH T HH IY W AA N T T AH S EH L HH ER	HH IY G AH N AH T AW L AO R AY AH G IH V HH ER AH AH AH M P HH IY G AA N T UW P UH T AH G ER L HH IY AH D AA IH N HH IH Z N EY M HH ER S AH P UH S ER IY D AH Z AH N T W AA N B AH T HH IY W AA N T AH S EH L HH ER
scale31a-VNT05-drive	HH IY IH Z HH IY IH Z HH IY IH Z <sil> HH IY IH Z EY <sil> OW M AE N HH IY HH IY IH Z M M M	HH IY Z HH IY IY IY IH Z HH IY IH Z IH Z EY OW HH IY IY IH Z Y M
scale31a-VNT06-wash	HH IY IH Z HH IY IH Z D UW <sil> HH IY W AH Z IY DX IH NG DH AH IY DX IH NG AH AY M IY N DH AH	HH IY IH Z HH IY Z UW M HH IY W AH Z IY D IH NG DH AH IY D IH NG AH AY N N UW DH AH
scale31a-VNT07-read	T AA K IH NG T UW IH M	T AA K IH T UW M
scale31a-VNT08-laugh	HH IY DH EY	HH IY Z M EY R N IY
scale31a-VNT09-watch	L UH K IH N AE T DH AH IH NG IH NG N IY S HH IY AA R	L UH K IH N AE T DH AH IH DH IY Z DH IY AA R
scale31a-VNT10-give	SH IY Z G IH V IH N HH IH M W AH N	SH IY Z Y UW N IH K AO R M
scale31a-VNT11-swim	S W IH M IH N	S W IH M IH N
scale31a-VNT12-stir	SH IY IH Z	SH IY IH Z
scale31a-VNT13-pinch	AW	HH AW
scale31a-VNT14-crawl	B EY B IY SH OW M IY SH IY IH Z SH IY IH Z T UW	B EY B IY AH B IY SH IY IH Z SH IH T UW
scale31a-VNT15-deliver	HH IY G AA T S AH M HH IY HH AE Z S AH M R UW M HH IH Z R UW M R EH Z IH Z HH IH Z IH Z T IH T S HH IH Z IH T S HH ER Z IH T S HH ER TH IH NG G IH V IH N T UW T IY NG K AH V HH IH Z HH IY IH Z T EH L IH NG HH IH M T UW <sil> TH EY NG K Y UW	AH G EH S AH M HH IY HH AE Z AH M R UW M T UW Z AH R UW M ER IH Z HH IH Z HH IH Z IH Z T IH S IH Z IH Z HH ER IH Z IH Z HH IY R S T EY IY G IH V IH N T UW T UW D IY K AA V HH IY Z HH IY IH Z T EH L AH DH AH M T UW D AY NG K Y UW N OW
scale31a-VNT16-pour	HH IY AH HH IY IH Z T AA K IH NG T AH DH EH M T UW AH HH IY AH T IY AH T UW T M	HH IY AH HH IY Z T AA K IH N IH N DH EH M T UW AH HH IY AA T IY AH JH UW D IH
scale31a-VNT18-throw	SH IY AH L IH S HH IY Z N AA T L IH S N IH NG B AH T HH IY IH Z	SH IY Z AA DH IH S N D IY Z N AA T L IH S N IH NG B AH T HH IY IH Z
scale31a-VNT19-bite	SH IY B AY T IH M	SH IY Z B AY DX IH N
scale31a-VNT21-tickle	HH IY L AE F IH NG	HH IY L AE F IH NG
tap11a-BNT02-comb	S W AA L	S R AA L
tap11a-BNT05-bench	P IH CH	P IH N CH
tap11a-BNT06-volcano	K AA L K EY M EH L	K AA L K EY M AH T
tap11a-BNT07-canoe	B OW T	B AY T
tap11a-BNT09-cactus	P R AE T UW S	B R AE CH AH S
tap11a-VNT01-cut	Y EH S	G EH S
tap11a-VNT02-bark	B AA R K IH NG	B AA R K IH NG
tap11a-VNT03-put	W EY IH T	W EY IH T
tap11a-VNT04-send	R IY D IH T Y EH S B OW	R IY D IH T Y EH S OW
tap11a-VNT05-drive	R AY V IH N	D R AY V IH N
tap11a-VNT06-wash	W AA N D ER IY	W AY N D ER IH
tap11a-VNT07-read	R IY D IH NG	R IY D IH NG
tap11a-VNT08-laugh	L AE F IH N	W AY F
tap11a-VNT09-watch	Y EH S AH <spn>	Y EH S AH UW
tap11a-VNT10-give	P R IH DX IY	P R IH DX IY
tap11a-VNT11-swim	S W IH M IH N	S W IY M IH NG
tap11a-VNT12-stir	CH IY	CH IH NG
tap11a-VNT13-pinch	OW OW M AY <spn> <sil> SH Y EH S Y EH S Y EH S	OW OW M AY M S P Y EH S Y EH S Y EH S
tap11a-VNT14-crawl	K AO L	K OW L
tap11a-VNT15-deliver	Y EH S OW Y EH S K AH M OW N AE N M AH M	Y EH S OW Y EH S K AH M OW D EH M M AH M
tap11a-VNT16-pour	TH AE NG K Y UW	TH AE NG K Y UW
tap11a-VNT18-throw	HH EH L <sil> T K AO R D	EH L K AO R D
tap11a-VNT19-bite	M AY G UH D	M AA G IH D
tap11a-VNT20-shove	Y EH S N AA T G UH D	Y EH S N AA G UH D
tap11a-VNT21-tickle	CH UH K IH N AH M <sil> S Y EH S	JH OW K IH N AH M Y EH S
tap11a-VNT22-shave	P R EY V IH NG Y EH S	R EY V IH NG Y EH S
thompson04a-BNT01-house	T IH T S HH AW S	T IY HH AW S
thompson04a-BNT02-comb	K OW M	HH AW M
thompson04a-BNT03-toothbrush	T UW TH B R AH SH	T UW TH B R AH SH
thompson04a-BNT04-octopus	S K W IH D	S K W IH N
thompson04a-BNT05-bench	B EH N CH	B EH N CH
thompson04a-BNT06-volcano	V AA L K EY N OW	V AA L K EY N OW
thompson04a-BNT07-canoe	K AH N UW	K AH N UW
thompson04a-BNT08-beaver	OW DH AH DH AE T S AH W IY Z AH L	OW B AH T B AH DH IH S IH Z R IY Z AH L
thompson04a-BNT09-cactus	K AE K T AH S	K AE K T AH S
thompson04a-BNT11-stethoscope	DH EH S K OW P S EH P S EH T S AH S EH S S S	B IH S K OW P S EH S EH S AH S P EH S S S
thompson04a-BNT12-unicorn	HH AO R S	HH AO R S
thompson04a-BNT13-tripod	K AE M R AH	K AE V AH
thompson04a-BNT14-sphinx	S P IH NG K	S P IY K
thompson04a-BNT15-palette	AH IY Z AH L	AH IY Z AH L
thompson04a-VNT01-cut	K AH DX IH NG	K AH DX IH NG
thompson04a-VNT02-bark	D AA R K N OW AH AH AH M B AA R K	D AA R K N OW AH AH M B AA R K
thompson04a-VNT03-put	W EH L B IY K AH Z B IY K AH Z <sil> AY M IY N DH IH S IH Z <sil> AY D OW N T S IY W AH T Y ER D UW IH NG AA N DH IH S <sil> AY D OW N T S IY DH AE T	W OW B IY K AH Z B IY K AH Z AY M IY N DH IH S IH Z AY D OW N S IY W AH T JH Y UW D UW N OW DH IH S AY D OW N S IY DH AE T
thompson04a-VNT04-send	K AH Z DH AE T S AH G UH D TH IH NG B IY K AH Z IH T S DH AE T S CH OW DH AE T S R AO NG	K AH Z DH AE T S AH G UH D IH NG B IY K AH Z DH IH S DH IH T S CH OW DH AE T S R AA NG
thompson04a-VNT05-drive	W EH L HH IY Z D R AY V IH N AH K AA R	W AH T HH IY Z D R AY V IH NG AH K AA R
thompson04a-VNT06-wash	D UH Z IH NG D IH SH IH NG W AO R SH IH NG W AO R SH IH NG D IH SH AH Z	D UW SH IY D IH SH IH NG W AO SH IH NG W AO SH IH NG D IH SH AH Z
thompson04a-VNT07-read	DH AE T S W AH T HH IY IH Z HH IY W AH Z IH CH IH NG N OW N OW	DH AE T S W AH T HH IY IH Z HH IY W AH Z P IH CH IH NG N OW N OW
thompson04a-VNT08-laugh	W AH T IH Z IH T D UW IH NG HH IY R HH AH <sil> W EH L HH IY Z HH IY Z D AH D R AY V HH IY Z HH IY Z HH IY Z AH AH D R AY V IH NG N OW N OW HH IY Z HH IY Z L AE F IH NG	W AH T IH Z HH IY D UW IH NG DH EY R <spn> W EH L HH IY Z HH IY Z D AH D R AY V IH NG SH IY Z HH IY Z AH AH D R AY V IH NG N OW N OW HH IY Z HH IY Z L AE F IH NG
thompson04a-VNT09-watch	B AH T DH AE T S DH IY OW N L IY TH IH NG AY K AE N S EY IH T IH Z IH Z EY AH L AE F IH NG M AO R N IH NG N OW K EY AH AH <sil> OW HH IY Z G AA T IH T HH EY HH EY NG G ER	B AH T DH AE T S IY AE N DH IY AY K EH N S EY IH T IH Z IH Z EY AH L AE F IH NG M AA R N IH NG N OW K AE AE AH OW HH IY Z G AA T IH HH EY EY NG G ER
thompson04a-VNT10-give	P AE K IH JH IH NG	P AE K IH JH IH P S
thompson04a-VNT11-swim	S W IH M IH NG	S W IH M IH NG
thompson04a-VNT12-stir	S T ER IH NG	S T ER IH NG
thompson04a-VNT13-pinch	P IH N CH IH NG	P IH N CH IH NG
thompson04a-VNT14-crawl	K R AO L IH NG	K R AA L IH NG
thompson04a-VNT15-deliver	P AE K IH JH IH NG	P AE K IH JH IH
thompson04a-VNT16-pour	P AO R IH NG	P AO R IH NG
thompson04a-VNT17-howl	AH HH AW L IH NG	AH N AW W IH NG
thompson04a-VNT18-throw	Y UW G EH T AH <sil> B AO L B AO L L AH T S G OW W IH TH DH AE T D UW DH AH B AO L Y EH S	Y UW K EH T AH B AO L B AA L L EH T S G OW W IH DH AE T AE N DH AH B AA L DH EH S
thompson04a-VNT19-bite	EY NG G ER	EY NG G ER
thompson04a-VNT20-shove	SH AH V IH NG	SH AH V IH NG
thompson04a-VNT21-tickle	L AE F D ER	L AE F T ER
thompson04a-VNT22-shave	SH EY V IH NG	SH EY V IH NG
tucson15a-BNT01-house	B AH M UW N	B AH M UW N
tucson15a-BNT02-comb	K OW M	K OW M
tucson15a-BNT03-toothbrush	B R AH SH	B R AH SH
tucson15a-BNT05-bench	B EH N	B EH N
tucson15a-BNT06-volcano	B AE K T IH R IY Y IH D	B AH T R IH N IH NG IH T
tucson15a-BNT07-canoe	IH T S AH S AH N UW	DH IH S AH SH AH N UW
tucson15a-BNT08-beaver	B ER D	B ER D
tucson15a-BNT09-cactus	K AE K T AH S	T AE K T AH S
tucson15a-BNT10-hammock	S W IH NG Z S Z	S W IH M IH NG IH SH IH Z
tucson15a-BNT12-unicorn	B AE DX ER IY	P AE
tucson15a-BNT13-tripod	P L IY Z	B R IY D IH S
tucson15a-BNT14-sphinx	K IH NG	K EY
tucson15a-BNT15-palette	P AE L AH T	P AE L AH T
tucson15a-VNT01-cut	K AH T	K AH T
tucson15a-VNT02-bark	T AA K AA K T AH HH IH M W AH T K AA F AH HH IH M K AA R K AA R	D AA T AA K T AH HH IH M W AH K T AA F ER HH IH M T AA R K OW
tucson15a-VNT03-put	HH IY T EY K S <sil> IH T D AW N HH IY R	HH IY K CH EY SH IH NG IH T D AW N HH IY R
tucson15a-VNT04-send	HH EH L EH L V IH V EY R IY G UH D S EH N T AH HH ER HH IY Z M EY R M EY R Z S IH S M EY R M EY L IH	HH AE EH V EY R IY G UH D JH AH S IH N T AH HH ER HH IH Z M EY R M EY R S IH Z M EY R M EY L IY N
tucson15a-VNT05-drive	HH IY Z G AA DX AH B AY B AY W EY <sil> Y AE Y UW S IY AH M	HH IY Z R AH N ER B AY R AY AH W EY <sil> Y AE Y SH Y AH N
tucson15a-VNT06-wash	W AA SH IH S	W AA SH AH SH
tucson15a-VNT07-read	P EY M P P IH S W IY W EY R W IY W AH Z HH IY R R IY D AH M	P EY B B IH Z AH W IY W R IY R R IY SH IY R R IY D AO R
tucson15a-VNT08-laugh	OW HH IY Z V EY R IY HH AE P IY HH AE P IY	AH Z Z V EY R IY HH AE P IY HH AE P IY
tucson15a-VNT09-watch	K AE T W AA N T Z T AH S EY M G AA CH AH	K AE T B AH N W AH CH IY S EY G AA CH AH
tucson15a-VNT10-give	DH IH S T EY K IH T P EY S P IY Z HH IY R DH AH HH IY HH AE D AE N D HH IY G IH V Z T AH HH ER N AY S	DH IH S T EY K IH N P EY S P EY Z HH IY R EY HH IY HH AE D AE N HH IY G IH S T UW HH ER Z N AY CH
tucson15a-VNT11-swim	W IH N S AH S AY <spn> EH N IY W EY R G AY AH M AH IH N DH AH K AA R <spn> IH N D CH AH K AA R	W IH N AA AH S AY EH N D AH N EY R G AY AH M EH N IY T R AY EH JH UW K AA
tucson15a-VNT12-stir	OW DH IH S IH Z N AY S D R IH NG K S IY HH IY D R IH NG K IH NG F OW SH IY N B AH T DH AH HH ER M IH K S AH M AH P AE N D HH IY Z P AE S AH M AW T T AH EH V R IY B AH D IY	OW DH IH S IH Z AH N AY S D R IH NG K EY K S HH IY D R IH NG K D R IH IH NG P IH AH HH ER M EY K S IH N AH P S P AE S N AY K IH AH B AH
tucson15a-VNT13-pinch	HH IY Z P IH N CH HH ER	HH IY Z P IH N CH IH R
tucson15a-VNT14-crawl	SH IY Z W EY IH N IH N D AH R EY T AH T R AY IH T AH W EY	SH EY V IH NG IH N R IY D T R AY IH T AH L EY
tucson15a-VNT15-deliver	W EH L DH AH P IY S K AH M Z F R AH M HH IY R T AH HH IH M AE N F R AH M DH AH F EY AH S F R AH M F EY HH IH S AE N AE N HH IY D UW AH T	W AH AH P IY S D AH NG K S AO R HH IY R K HH IH M IH T S F R AH M DH AH P EY S F ER P AE K IH JH TH IH NG N HH IY D UW AA K
tucson15a-VNT16-pour	F R AH M DH AH P AO R IH T IH N HH IY R IY N AY S R IH V ER R EY N D EH N HH IY R	AH N DH AH AH AY IH N HH IY R IY N AY S R IH V ER HH R IY D IH NG D AW N AH HH IY R
tucson15a-VNT17-howl	B AY HH IY T UH K DH IH S AE N D M EY K IH T AE F T ER HH IH M HH IH M N UW Z N UW Z AE T AH M	OW HH IY T UH K IH N IH S AH M EY K IH N AE F T ER HH IH M HH IH M M UW N Z M UW N Z AY N OW
tucson15a-VNT18-throw	HH IY Z G AA T DH AH <spn> DH AH B OY <spn> DH AH HH IY HH IY T T EY K S HH IY T EY K S DH AH B AO R B AO R T AH HH IH M AE N SH IY W AA N T S T AH <spn> <spn> D IH S W EH DH ER Y UW G OW	HH IY Z G AA T DH AH D DH AH B OY HH IY HH IY JH T EY K S HH IY T EY K DH AH B AO W AA R K IH NG HH IH M AE N SH IY W AA N S AH IH S W EH DH EY R Z L UH P
tucson15a-VNT19-bite	K L IH P S HH IH M K L AE P S AH M AE N HH IY S EH Z G UH D	K L IH P CH IH N K L AA AH HH HH IY SH IY Z K IH V IH N
tucson15a-VNT20-shove	L EH T S G OW AH W EY G EH AH W EY	DH IH S G OW AH W EY G OW T AH W EY
tucson15a-VNT21-tickle	SH IY Z JH AH G AA T DH EH M AA L AA N DH AH S N EY K S <spn> T T AH D EH G S Y AE HH IY S EH Z HH IY S EH Z SH IY G AA DX AH M AA N	SH IY Z T EY G AA IH M AH V AH M S M EY K S CH IH CH IH D IH K S Y AY K IH EH S SH AH G AA DX AH B AH
tucson15a-VNT22-shave	K L IY N <spn> D IH G ER <spn> <sil> G AY AH HH IY L EY D <sil> L IY S AE N L EY Y AE HH IY Z N AY S	K L IY NG UH K D IH G ER AH D AY HH IY L EY P L IY Z N AY Y AE N AY
tucson22a-BNT01-house	HH AW S	AH HH AW S
tucson22a-BNT02-comb	K OW M	K OW M
tucson22a-BNT03-toothbrush	T UW TH R AH SH	T UW TH B R AH SH
tucson22a-BNT04-octopus	K AA P T AH P UH S	K AA K T AH P UH S
tucson22a-BNT05-bench	B EH N CH	B EH N CH
tucson22a-BNT06-volcano	V AA L K EY N OW	V AA L K EY N OW
tucson22a-BNT07-canoe	B OW T	V OW T
tucson22a-BNT08-beaver	AA DX ER	HH AA DX ER
tucson22a-BNT09-cactus	S AH W AA R OW	S AH W AA R OW
tucson22a-BNT10-hammock	S W IH NG	S W IH NG
tucson22a-BNT12-unicorn	EY K AO R N	B AY DX IH K AO R IH N AH
tucson22a-BNT14-sphinx	P IH R AH M IH D	P EY R IH
tucson22a-BNT15-palette	P EY N T	P EY N T
tucson22a-VNT01-cut	K AH DX IH NG	K AH DX IH NG
tucson22a-VNT03-put	P UH DX IH NG IH T D AW N	P UH DX IH NG IH T D AW N
tucson22a-VNT04-send	M EY L B AA K S IH Z S AH	M EY L B AA K S IH Z S AH
tucson22a-VNT05-drive	D R AY V IH NG	D R AY V IH NG
tucson22a-VNT06-wash	AH M AH T AH N EY IH NG AY M IY N	AH M AH SH IH V IH AY M IY N
tucson22a-VNT07-read	AH <sil> R IY D IH NG	AH R IY D IH NG
tucson22a-VNT08-laugh	L AE F IH NG	L AE F IH NG
tucson22a-VNT09-watch	DH AH K AE T IH Z W AA CH IH NG DH AH D AA G	DH AH K AE T IH Z W AA CH IH NG DH AH D AA G
tucson22a-VNT10-give	P R EH Z IH N T AH M <sil> P R EH Z IH N T	P R EH Z IH N T AH M P R EH Z N T
tucson22a-VNT11-swim	S W IH M IH NG	S W IH M IH NG
tucson22a-VNT12-stir	AH M <spn> AH M <spn> JH IH AH M	AH M D AH M AH JH IH V AH M
tucson22a-VNT13-pinch	P UH SH IH NG N OW P UH L IH NG N OW AH <sil> P R IH N CH P IH N CH IH NG	P UH SH IH NG N OW P UH L IH NG N OW AH P IH N CH P IH N CH IH NG
tucson22a-VNT14-crawl	DH AH B EY B IY IH Z K AO L K AO L IH NG K AO <sil> DH AH B EY B IY IH Z K R AO L IH NG	DH AH B EY B IY IH Z K AO L K AO L IH NG K AO DH AH B EY B IY IH Z K R AO L IH NG
tucson22a-VNT15-deliver	DH AH P AE K IH JH IH Z D AH L IH V ER IH NG	DH AH P AE K IH JH IH Z D AH L IH V ER IH NG
tucson22a-VNT16-pour	D R IH NG K IH NG AH M	D R IH NG K IH NG AH M
tucson22a-VNT17-howl	<sil> N AY M UW N AH M <sil> AH HH AW L IH NG	N AY N OW R N OW AH M AH HH AW L IH NG
tucson22a-VNT18-throw	IH S TH R OW IH NG	T TH R OW IH NG
tucson22a-VNT19-bite	HH AE P AO R D AA G IH Z B IH AH N	HH AA T P AO R D AO G IH Z B EH IH N
tucson22a-VNT20-shove	F R IH SH IH NG	P UH SH IH NG
tucson22a-VNT21-tickle	P K UW CH IH K AH L IH NG	K P AH CH IH K AH L IH NG
tucson22a-VNT22-shave	M AH SH OW AH M <spn> <sil> B R EY Z ER B L EY D Z AH M <sil> P R IY SH R AH	R AH SH OW AH M AA B R EY Z ER B EH L EY D Z AH M P T R AH
whiteside06a-BNT01-house	AH T UW S T AO R IY HH AW S	AH T UW S T ER IY HH AW S
whiteside06a-BNT02-comb	K OW M	K OW M
whiteside06a-BNT03-toothbrush	B R AH SH	AH R AH SH
whiteside06a-BNT04-octopus	AA K T OW P UH S	AA K T OW P UH S
whiteside06a-BNT05-bench	B EH N CH	B EH N CH
whiteside06a-BNT06-volcano	V AA L K EY N OW	V AA L K EY N OW
whiteside06a-BNT07-canoe	B OW T	HH OW
whiteside06a-BNT09-cactus	K AE K T AH S	K AE K T AH S
whiteside06a-BNT11-stethoscope	S T EH TH AH S K OW P	S T EH F AH S K OW P
whiteside06a-BNT12-unicorn	AE N T AH L ER	P AE M S AH L ER
whiteside06a-BNT13-tripod	K AE M R AH	K AE M AH
whiteside06a-BNT14-sphinx	S F IH NG K S	S F IH NG K S
whiteside06a-BNT15-palette	HH AE N D AH L Z	HH AE N D AH L L Z
whiteside06a-VNT01-cut	K AH DX IH NG AH P AH P EY P ER	K AH DX IH NG AH P AH P EY P ER
whiteside06a-VNT02-bark	AH B AA R K	AH B AA R K
whiteside06a-VNT03-put	S IH DX IH NG D AW N	S IH DX IH NG D AW N
whiteside06a-VNT04-send	AH M D R AA P IH NG AH M EY L B AA K S	AH M D R AA P IH NG AH M EY L B AA K S
whiteside06a-VNT05-drive	D R AY V IH NG AH W EY	D R AY V IH NG AH W EY
whiteside06a-VNT06-wash	AY TH IH NG K HH IY IH Z W AA SH IH NG AH	AY TH IH NG K HH IY IH Z W AA SH IH NG DH AH
whiteside06a-VNT07-read	HH IY IH Z S IH NG IH NG	HH IY IH Z S IH NG IH NG
whiteside06a-VNT08-laugh	L AE F IH NG	L AE F IH NG
whiteside06a-VNT09-watch	<sil> HH IY IH Z AH M M IH F T	HH IY IH Z AH M IH F T
whiteside06a-VNT10-give	HH IY IH Z S W D UW IH NG DH IH S AY M IY N HH AE N D IH NG DH IH S S AH N AA B AH B IH G B AA K S	HH IY Z S D UW IH NG DH IH S AY M IY N HH AE N D IH NG DH IH S S AH N AA B AH B EY G B AA K S
whiteside06a-VNT11-swim	HH IY AH	HH IY AH
whiteside06a-VNT12-stir	AH D <sil> AH AE JH AH T EY T IH NG	AH D AH M AE CH AH CH EY D IH NG
whiteside06a-VNT13-pinch	P IH N CH	P IH N CH
whiteside06a-VNT14-crawl	W AA W UW T W AO L IH NG	W AA T R AO L IH NG
whiteside06a-VNT15-deliver	HH AE N D IH NG DH AH B AA K S T UW DH AH OW N ER	HH AE N D IH NG DH AH B AA K S T UW DH AH OW L ER
whiteside06a-VNT16-pour	F AO R IH NG AH D AH P AO R IH NG IH T	P AO R IH NG IH P AO R IH NG IH T
whiteside06a-VNT18-throw	TH R OW IH NG DH AH B AA L	TH R OW IH NG DH AH B AA L
whiteside06a-VNT19-bite	B AY DX IH NG DH AH <spn> HH AE T	B AY DX IH NG HH AE T
whiteside06a-VNT20-shove	HH IY P UH SH AH Z DH IY W AY F	HH IY P UH SH IH Z DH IY W AY F
whiteside06a-VNT21-tickle	HH IY IH Z T IH K AH L IH NG DH AH W AY F IH Z T IH K AH L IH NG DH AH W AY F N OW DH AH T IH K AH L IH NG DH AH HH AH Z B AH N D	HH IY IH Z T IH K AH L IH NG DH AH W AY F IH Z IH S T IH K AH L IH NG DH AH W AY F N OW V IH T IH K AH L IH NG DH AH HH AH Z B IH N D
whiteside06a-VNT22-shave	HH IY IH Z SH EY V IH NG	HH IY IH Z SH EY V IH NG
williamson18a-BNT01-house	AH HH AW S	AH HH AW S
williamson18a-BNT02-comb	K OW M	K OW M
williamson18a-BNT03-toothbrush	T UW TH B R AH SH	T UW TH B R AH SH
williamson18a-BNT04-octopus	AA K T AH P UH S	AA K T AH P UH S
williamson18a-BNT05-bench	AH B EH N CH	AH B EH N CH
williamson18a-BNT06-volcano	V AA L K AE N OW	V AA L K AE N OW
williamson18a-BNT07-canoe	B OW T	B OW T
williamson18a-BNT08-beaver	AH B EH N CH	AH B EH N CH
williamson18a-BNT09-cactus	K AE K T AH S	T K AE K T AH S
williamson18a-BNT10-hammock	HH AA L AH T	T P AA L AH
